sentence1,label
Vetora ke asa dekta chai,2
Tomake always e amr  onek beshi bhalo lage,0
Ddr 5 naki 6 bollo na,1
Sir amader free ta freelancing sikhan plzzz,2
Fan gula kalo colour er dile vhallo hoito,2
Class 5 ssc 2 tay e a pailam jani na pabo naki pc class 5 taika shopno idk ata puron hobe naki always luck er upor bissas kore aschi luck a thakle in sha allah hobe amar o akta pc,3
Shariatpur er launch jemon choto temon pocha service jak ekhon ektu shanti te jawa jabe dadu bari nanu bari,3
Sir ami ebi course a vorti hote chai,2
Amader chinta dara bodlate hby,2
Apnr review dekhei ph kini,0
Darun lobhoniyo shob item,0
2019 theke apnar video dekhi vaiya,0
400 diya kinse daraz theke,1
Editing ar jonna kemon hoba,2
Ai superstar to kono shoes e nilo na abr koi sib nibo,1
Ato taka inves kore ki lav skill na thakoly,1
Ami apnar theke kichu kinte chai,2
Dada aktu chabia kala bhalo lagto,3
Nothing phone 2 er review dekhte chay shathe camera comparison nothing phone 1 er shathe,1
Apnader bangla 2nd pepar seggestion class 80 common porse,0
"Vai, 5600 diye build korte geslam. Vai er chena dokandar 5600g dhoraya dice. Ami agei 1660 super kinecilam 4 monthe used official 17k. Oi builder sathe ei gpu tai use kortici. Ki korbo akhon? 5600g ta sell diye ki 5600 nea ta thik hobe akhon?",2
Love from sonadanga khulna,0
pabo na jene o korlam,1
"Apu ami tomar video gulo dekhi, khub sundor. Apu tomader facebook er inbox ta check korba please?",0
Acca 4s3s bms dea battery full charge hole kivabe bujbo. Kunu indicator to nai,2
dost shai hoise,0
Hae aro comment koro bhaloi laagtese,0
Bhaiya t20 khelte hbe,2
Bhai redmi 12 5g ar review diyen,2
"Nike r juta America, london export kore quality onk bhalo",0
Hi api hajab ki vabe koro onk shundor hoy,0
Editor vhaia messenger spelling ta ektu dekha dorkar mne hocche,1
Apu k onek healthy lagtece,1
New superstar towhid hridoy,0
Country lock unlock kore kemne,2
Afghani ke l lag gai lol bolar bhi hartrik leliya,1
Vaiyaa ami paribashik shobdo vul koira ashchi,2
Bangladesh er brand eto valo phone eto kom dame dibe vabi ni kokhono,0
Bhai lava agni phone ta give aayu result ki disen bhai? _android_to_to_company,2
Koto ghonta colte pare full charging er por?and ak sate koijon e bah batash khate parbe?,2
Bogura theke love u vai,0
Naim sakh ka change kora soumo sorkar ka nawoa hook,2
"Faiza dhong kom koro,tmr aisob alga vab vlo lage na ,faltu",1
Ki r bolbo dekhei jai,3
Anker valo kichu e offer kore,0
Tumi shariatpur asla aktu age bole asbana ato kace aisai dekha hlona,2
Bangla 2nd paper exm ta valoi hoyeche. First ei 10 minute school er merathon cls dekhechilm amiocommon paisi,0
I12 tws ta bhalo laglo. But lalnil baati kmn jani,3
Pny ram er dam na 2450tk koira? dam barse naki?,3
Kobe aschila bolla na to pasei chilm,1
450 lenovo ideapad ryzen 7th gen e ddr5 ram use kora hoyeche. Price 60k theke shuru,1
Versace re gucci banai dilo haireh dui numberi fokkinni,1
Mordana ulta better j phizer theke both same category,0
Apple ancay tor heda boka choda tara ante parcay ancay,1
Amader bario shariatpur jajira,2
Happy birthday sunanda enader best khabar holo mutton burra plus sb guloi best of best,0
Etto handsome kn tmi,0
Vai snapdragon dile ki smssa,2
First comment korlam sami bhai,2
All board suggestion suggest koren vhai,2
Ki labh. Wifi e net e to thakbe nah tokhon,1
Pcmb o ebi e online batch a kivabe vorti hobo kew aktu bolte parba?,2
Apu kon country te apne,2
Bai ami apnar sob video daki nice video,0
